scientific_name,author,year,bibliography,image_url,family,genus,plant_wiki,plant_id
Acalypha poiretii,Spreng.,1826.0,Syst. Veg. 3: 879 (1826),https://d2seqvvyy3b8p2.cloudfront.net/34e7cd4db0c83c2974424e91ea0fb255.jpg,Euphorbiaceae,Acalypha,https://en.wikipedia.org/wiki/Acalypha,527
Pygeum schlechteri,Koehne,1965.0,Blumea 13: 79 (1965),https://d2seqvvyy3b8p2.cloudfront.net/78d2e3bf1d1149ead9816263a72834ce.jpg,Rosaceae,Pygeum,https://en.wikipedia.org/wiki/Prunus_schlechteri,528
Diplazium centripetale,(Baker) Maxon,1926.0,Sci. Surv. Porto Rico & Virgin Islands 6: 441 (1926),https://d2seqvvyy3b8p2.cloudfront.net/6056839e2ee0b728c116c70eb1a570bb.jpg,Aspleniaceae,Diplazium,,529
Grevillea banksii,R.Br.,1810.0,Trans. Linn. Soc. London 10: 176 (1810),https://bs.plantnet.org/image/o/127821cc40c1409bcd1ff5f6729e76f48bf2cddf,Proteaceae,Grevillea,https://en.wikipedia.org/wiki/Grevillea_banksii,530
Antidesma coriaceum,Tul.,1851.0,"Ann. Sci. Nat., Bot., sér. 3, 15: 204 (1851)",https://d2seqvvyy3b8p2.cloudfront.net/7e4e1e43e54c992cb82d005b529121ae.jpg,Phyllanthaceae,Antidesma,https://en.wikipedia.org/wiki/Antidesma,531
Peltophorum pterocarpum,(DC.) Backer ex K.Heyne,1927.0,"Nutt. Pl. Ned.-Ind., ed. 2, 2: 755 (1927)",https://bs.plantnet.org/image/o/fdf1e7dd118a9fa8930ec7f29744ca783fa7b870,Fabaceae,Peltophorum,https://en.wikipedia.org/wiki/Peltophorum_pterocarpum,532
Sisymbrium orientale,L.,1756.0,Cent. Pl. II: 24 (1756),https://bs.plantnet.org/image/o/4c3202ff06910b04580051cfa410486cf86726d0,Brassicaceae,Sisymbrium,https://en.wikipedia.org/wiki/Sisymbrium_orientale,533
Potamogeton distinctus,A.Benn.,1904.0,J. Bot. 42: 72 (1904),https://d2seqvvyy3b8p2.cloudfront.net/b654844754aa4a3266ed1d06561571fd.jpg,Potamogetonaceae,Potamogeton,https://en.wikipedia.org/wiki/Potamogeton_distinctus,534
Dianthus viscidus,Bory & Chaub.,1838.0,Nouv. Fl. Pélop.: 26 (1838),https://d2seqvvyy3b8p2.cloudfront.net/4ec4e587159b4c1c2edd0d5a7f03ca9f.jpg,Caryophyllaceae,Dianthus,,535
Digitaria longiflora,(Retz.) Pers.,1805.0,Syn. Pl. 1: 85 (1805),https://d2seqvvyy3b8p2.cloudfront.net/4e89d73eb59b0738e5f50a87ecd97080.jpg,Poaceae,Digitaria,https://en.wikipedia.org/wiki/Digitaria_longiflora,536
Ephedra fragilis,Desf.,1799.0,Fl. Atlant. 2: 372 (1799),https://bs.plantnet.org/image/o/0a171a05b1f12019df95d162ce1bd8512607ac5f,Ephedraceae,Ephedra,https://en.wikipedia.org/wiki/Ephedra_fragilis,537
Heliotropium biblianum,Craven,2005.0,Blumea 50: 379 (2005),https://d2seqvvyy3b8p2.cloudfront.net/c017f28313a685e6b76fa08a5ea3219f.jpg,Boraginaceae,Heliotropium,,538
Garcinia cowa,Roxb. ex Choisy,1824.0,"A.P.de Candolle, Prodr. 1: 561 (1824)",https://d2seqvvyy3b8p2.cloudfront.net/d4b8a20afc55ca95be696c9ad33acad2.jpg,Clusiaceae,Garcinia,https://en.wikipedia.org/wiki/Garcinia_cowa,539
Euphorbia pulcherrima,Willd. ex Klotzsch,1834.0,Allg. Gartenzeitung 2: 27 (1834),https://bs.plantnet.org/image/o/35ecf8fa28bf9ce821f4b6ea157e031f79aef50a,Euphorbiaceae,Euphorbia,https://en.wikipedia.org/wiki/Poinsettia,540
Lagenaria siceraria,Standl. (Molina),1930.0,"Publ. Field Mus. Nat. Hist., Bot. Ser. 3(3):435.  1930",https://bs.plantnet.org/image/o/ce04a61993c35043cc1521ee9f8a142160d49de4,Cucurbitaceae,Lagenaria,https://en.wikipedia.org/wiki/Calabash,541
