scientific_name,author,year,bibliography,image_url,family,genus,plant_wiki,plant_id
Ficus erecta,Thunb.,1786.0,Ficus: 9 (1786),https://bs.plantnet.org/image/o/48f1eaa310e289a4b25116b06f846fd84a782414,Moraceae,Ficus,https://en.wikipedia.org/wiki/Ficus,1
Hemiptelea davidii,(Hance) Planch.,1872.0,Comp. Rend. Hebd. Séances Acad. Sci. 74: 131 (1872),https://bs.plantnet.org/image/o/b088dfae42298ec8b3e9b11b65a67b10425b4661,Ulmaceae,Hemiptelea,https://en.wikipedia.org/wiki/Hemiptelea,2
Acalypha amentacea,Roxb.,1832.0,"Fl. Ind. ed. 1832, 3: 676 (1832)",https://bs.floristic.org/image/o/2df8cb37afb38456d47195da6bd6aaba8be09ab9,Euphorbiaceae,Acalypha,https://en.wikipedia.org/wiki/Acalypha,3
Carissa spinarum,L.,1771.0,Mant. Pl. 2: 559 (1771),https://bs.plantnet.org/image/o/d63cc3705111e9b6a46ff233524c3bacb9fa4cca,Apocynaceae,Carissa,https://en.wikipedia.org/wiki/Carissa_spinarum,4
Solanum hasslerianum,Chodat,1902.0,"Bull. Herb. Boissier, ser. 2, 2: 747 (1902)",https://d2seqvvyy3b8p2.cloudfront.net/e18498569f432d3a8f1c6a5a18318792.jpg,Solanaceae,Solanum,https://en.wikipedia.org/wiki/List_of_Solanum_species,5
Chrysojasminum humile,Banfi (L.),2014.0,Atti Soc. Ital. Sci. Nat. Mus. Civico Storia Nat. Milano 1(1): 5 (2014),https://bs.plantnet.org/image/o/f01007c6bf37f8c1e081609c99b3aa899ffa44bd,Oleaceae,Chrysojasminum,https://en.wikipedia.org/wiki/Chrysojasminum,6
Juniperus cedrus,Webb & Berthel.,1847.0,Hist. Nat. Iles Canaries 3(2; 3): 277 (1847),https://bs.plantnet.org/image/o/180bd469b63885e568a4dba95061d7bbda50fcb0,Cupressaceae,Juniperus,https://en.wikipedia.org/wiki/Juniperus_cedrus,7
Alternanthera pungens,Kunth,1818.0,"F.W.H.von Humboldt, A.J.A.Bonpland & C.S.Kunth, Nov. Gen. Sp. 2: 206 (1818)",https://bs.plantnet.org/image/o/37acb03f74dc3b72cd46caee57416fb6d0777528,Amaranthaceae,Alternanthera,https://en.wikipedia.org/wiki/Alternanthera_pungens,8
Triumfetta rhomboidea,Jacq.,1760.0,Enum. Syst. Pl.: 22 (1760),https://bs.plantnet.org/image/o/880e31a7de826283d18efed66597197783859495,Malvaceae,Triumfetta,https://en.wikipedia.org/wiki/Triumfetta_rhomboidea,9
Cephalotaxus oliveri,Mast.,1898.0,Bull. Herb. Boissier 6: 270 (1898),https://d2seqvvyy3b8p2.cloudfront.net/feac05d44d18d88fb74712aa84432001.jpg,Taxaceae,Cephalotaxus,https://en.wikipedia.org/wiki/Cephalotaxus_oliveri,10
Piper longum,L.,1753.0,Sp. pl. 1:29.  1753,https://bs.plantnet.org/image/o/fba91bbc0d7516b648d57d68a5497f972c7d3090,Piperaceae,Piper,https://en.wikipedia.org/wiki/Long_pepper,11
Najas marina,L.,1753.0,Sp. Pl.: 1015 (1753),https://bs.plantnet.org/image/o/c771ab45fc652fcf4d3f5baadb8e9902b837d1f1,Hydrocharitaceae,Najas,https://en.wikipedia.org/wiki/Najas_marina,12
Plantago lanceolata,L.,1753.0,Sp. Pl.: 113 (1753),https://bs.plantnet.org/image/o/78a8374f009e6ed2dc71ca17d18e4271ea0a2a7b,Plantaginaceae,Plantago,https://en.wikipedia.org/wiki/Plantago_lanceolata,13
Solanum album,L.,1753.0,Sp. Pl.: 187 (1753),https://bs.plantnet.org/image/o/996554891c9369f25e23cffa1755e64d473ef5f2,Solanaceae,Solanum,https://en.wikipedia.org/wiki/Eggplant,14
Ophrys tenthredinifera,Willd.,1805.0,"Sp. Pl., ed. 4, 4: 67 (1805)",https://bs.plantnet.org/image/o/47cadb744002fe9f47a2e4983489d6ddf2889fb4,Orchidaceae,Ophrys,https://en.wikipedia.org/wiki/Ophrys_tenthredinifera,15
Iris pseudacorus,L.,1753.0,Sp. Pl.: 38 (1753),https://bs.plantnet.org/image/o/5de9ad057e5a24bc00d25f1f4df5ff4025c98257,Iridaceae,Iris,https://en.wikipedia.org/wiki/Iris_pseudacorus,16
Sclerophylax kurtzii,Di Fulvio,1961.0,Kurtziana 1: 88 (1961),https://d2seqvvyy3b8p2.cloudfront.net/7876b1929c94c0c357d200ae624c2980.jpg,Solanaceae,Sclerophylax,,17
Trimezia martinicensis,(Jacq.) Herb.,1844.0,Edwards's Bot. Reg. 30(Misc.): 88 (1844),https://bs.plantnet.org/image/o/16ee14c5d0f494b44db17f66a26f2e2d85870db0,Iridaceae,Trimezia,https://en.wikipedia.org/wiki/Trimezia_martinicensis,18
Tritonia gladiolaris,(Lam.) Goldblatt & J.C.Manning,2006.0,Bothalia 36: 57 (2006),https://d2seqvvyy3b8p2.cloudfront.net/726e3255f772bc75c92b9c8121289523.jpg,Iridaceae,Tritonia,https://en.wikipedia.org/wiki/Tritonia_(plant),19
Sisyrinchium angustifolium,Mill.,1768.0,Gard. Dict. ed. 8: n.º 2 (1768),https://bs.plantnet.org/image/o/b84c9e0987d4047b272dcacd889bee087f39f241,Iridaceae,Sisyrinchium,https://en.wikipedia.org/wiki/Sisyrinchium_angustifolium,20
Moraea setifolia,(L.f.) Druce,1917.0,Bot. Soc. Exch. Club Brit. Isles 4: 636 (1916 publ.1917),https://d2seqvvyy3b8p2.cloudfront.net/1457d5859bd6f4b83fe30a2ba34a6fb8.jpg,Iridaceae,Moraea,https://en.wikipedia.org/wiki/Moraea_setifolia,21
Crocus veluchensis,Herb.,1845.0,Edwards's Bot. Reg. 31(Misc.): 80 (1845),https://d2seqvvyy3b8p2.cloudfront.net/f76e5c5146bb16fd412d0fc95734ac0b.jpg,Iridaceae,Crocus,https://en.wikipedia.org/wiki/Crocus,22
Iris jacquinii,(Schrank),,,https://bs.plantnet.org/image/o/649fc4b7350cd4a0d0e171b96e75490e29f2d883,Iridaceae,Iris,,23
Sisyrinchium rosulatum,E.P.Bicknell,1899.0,Bull. Torrey Bot. Club 26: 228 (1899),https://bs.plantnet.org/image/o/6d7752f7bc3f7be23e515fe1cfab96867156bc66,Iridaceae,Sisyrinchium,https://en.wikipedia.org/wiki/Sisyrinchium_rosulatum,24
Iris laevigata,Fisch.,1839.0,"Index Seminum (LE, Petropolitanus) 5: 36 (1839)",https://d2seqvvyy3b8p2.cloudfront.net/049bdc382421161f4b17ec1a7e569a8f.jpg,Iridaceae,Iris,https://en.wikipedia.org/wiki/Iris_laevigata,25
Crocus tournefortii,J.Gay,1831.0,Bull. Sci. Nat. Géol. 25: 320 (1831),https://d2seqvvyy3b8p2.cloudfront.net/c96c9a73a2c88512c914233fd0111c04.jpg,Iridaceae,Crocus,https://en.wikipedia.org/wiki/Crocus_tournefortii,26
Ranunculus tuberosus,Lapeyr.,1813.0,Hist. Pl. Pyrénées 1: 320 (1813),https://bs.plantnet.org/image/o/e4131ee62f8f6bfd0e1d6ae5e52c671b5bc9041a,Ranunculaceae,Ranunculus,https://en.wikipedia.org/wiki/Ranunculus_montanus,27
Herbertia lahue,(Molina) Goldblatt,1978.0,Ann. Missouri Bot. Gard. 64: 379 (1977 publ. 1978),https://bs.plantnet.org/image/o/8af3bdffa0712633dd9c145cc995878166722f8f,Iridaceae,Herbertia,,28
Iris ensata,Thunb.,1794.0,Trans. Linn. Soc. London 2: 328 (1794),https://bs.plantnet.org/image/o/704419ab19ec5cfc82d584dae3b1a1c4d4ae96f5,Iridaceae,Iris,https://en.wikipedia.org/wiki/Iris_ensata,29
Olsynium douglasii,(A.Dietr.) E.P.Bicknell,1900.0,Bull. Torrey Bot. Club 27: 237 (1900),https://d2seqvvyy3b8p2.cloudfront.net/03d327df90d0f58b2bce1ed3557f084d.jpg,Iridaceae,Olsynium,https://en.wikipedia.org/wiki/Olsynium_douglasii,30
Crocus biflorus,Mill.,1768.0,Gard. dict. ed. 8: <I>Crocus</I> no. 4.  1768,https://bs.plantnet.org/image/o/3f9c2e6258378a6d781ce5d1750e9fe0569b4de0,Iridaceae,Crocus,https://en.wikipedia.org/wiki/Crocus,31
Gladiolus crassifolius,Baker,1876.0,J. Bot. 14: 334 (1876),https://d2seqvvyy3b8p2.cloudfront.net/50f972a9f05de32a6c0afc3b84250cb9.jpg,Iridaceae,Gladiolus,https://en.wikipedia.org/wiki/Gladiolus_crassifolius,32
Iris hartwegii,Baker,1876.0,"Gard. Chron., n.s., 6: 323 (1876)",https://d2seqvvyy3b8p2.cloudfront.net/f5398916f95953d19fdb38c0303dc0c9.jpg,Iridaceae,Iris,https://en.wikipedia.org/wiki/Iris_hartwegii,33
Aristea ecklonii,Baker,1877.0,"J. Linn. Soc., Bot. 16: 112 (1877)",https://bs.plantnet.org/image/o/dcafc3b3f137f5c972b380cba282f94b8881e5ac,Iridaceae,Aristea,https://en.wikipedia.org/wiki/Aristea_ecklonii,34
Babiana nervosa,(Lam.) Goldblatt & J.C.Manning,2014.0,Bothalia 44: 47 (2014),https://d2seqvvyy3b8p2.cloudfront.net/1614afd2356786a339bca832fed85ef6.jpg,Iridaceae,Babiana,https://en.wikipedia.org/wiki/List_of_Iridaceae_of_South_Africa,35
Thalassia hemprichii,(Ehrenb. ex Solms) Asch.,1871.0,Petermanns Geogr. Mitt. 17: 242 (1871),https://d2seqvvyy3b8p2.cloudfront.net/4e1d052c27eec97d15bee6a0a46cbda7.jpg,Hydrocharitaceae,Thalassia,https://en.wikipedia.org/wiki/Thalassia_hemprichii,36
Crocus fleischeri,J.Gay,1827.0,Bull. Sci. Nat. Géol. 11: 319 (1827),https://d2seqvvyy3b8p2.cloudfront.net/8076a6ff5a8caa28e90597140fe98211.jpg,Iridaceae,Crocus,https://en.wikipedia.org/wiki/Crocus,37
Watsonia pillansii,L.Bolus,1921.0,Ann. Bolus Herb. 3: 75 (1921),https://bs.plantnet.org/image/o/0524bc4809ec3bfbc2422233c33bf65864ad6d2b,Iridaceae,Watsonia,https://en.wikipedia.org/wiki/Watsonia_(plant),38
Sisyrinchium langloisii,Greene,1899.0,Pittonia 4: 32 (1899),https://bs.plantnet.org/image/o/5597466e5551c429fa685ce6c88c814d3143ecb1,Iridaceae,Sisyrinchium,,39
Moraea pallida,(Baker) Goldblatt,1998.0,Novon 8: 375 (1998),https://d2seqvvyy3b8p2.cloudfront.net/d122ab9d4c264792df4068b59aa00330.jpg,Iridaceae,Moraea,https://en.wikipedia.org/wiki/List_of_Iridaceae_of_South_Africa,40
Phillyrea latifolia,L.,1753.0,Sp. Pl.: 8 (1753),https://bs.plantnet.org/image/o/4a91ed5564d58e87a9aef3bc62fb6eea3e7bf8c6,Oleaceae,Phillyrea,https://en.wikipedia.org/wiki/Phillyrea_latifolia,41
Aethionema arabicum,(L.) Andrz. ex DC.,1821.0,Syst. Nat. 2: 560 (1821),https://d2seqvvyy3b8p2.cloudfront.net/c9f5ceb0bf0bf7c6291689ae66a958a3.jpg,Brassicaceae,Aethionema,https://en.wikipedia.org/wiki/Aethionema,42
Gladiolus ecklonii,Lehm.,1836.0,"Ann. Sci. Nat., Bot., sér. 2, 6: 107 (1836)",https://d2seqvvyy3b8p2.cloudfront.net/03d8fffe8d848773b4ea1df94a0f26b3.jpg,Iridaceae,Gladiolus,https://en.wikipedia.org/wiki/Gladiolus,43
Gladiolus rogersii,Baker,1892.0,Handb. Irid.: 208 (1892),https://d2seqvvyy3b8p2.cloudfront.net/1fcc327ea0ecaa50f91edc9d527df0f7.jpg,Iridaceae,Gladiolus,https://en.wikipedia.org/wiki/Gladiolus,44
Hesperantha bachmannii,Baker,1901.0,"Bull. Herb. Boissier sér. 2, 1:863.  1901",https://d2seqvvyy3b8p2.cloudfront.net/dec710d6fcd3f45b6662221f98ee73b5.jpg,Iridaceae,Hesperantha,https://en.wikipedia.org/wiki/Hesperantha,45
Crocus aleppicus,Baker,1873.0,Gard. Chron. 1873:609.  1873,https://d2seqvvyy3b8p2.cloudfront.net/deed5b77dcf4c58d68cc7649c5595dcd.jpg,Iridaceae,Crocus,https://en.wikipedia.org/wiki/Crocus_aleppicus,46
Gladiolus sericeovillosus,Hook.f.,1864.0,Bot. Mag. 90: t. 5427 (1864),https://d2seqvvyy3b8p2.cloudfront.net/4a2161661b4ebc135fbe0b1fb3867f37.jpg,Iridaceae,Gladiolus,https://en.wikipedia.org/wiki/Gladiolus,47
Gladiolus woodii,Baker,1892.0,Handb. Irid.: 207 (1892),https://d2seqvvyy3b8p2.cloudfront.net/7e828126914443c6436c8ffbdf08dcaa.jpg,Iridaceae,Gladiolus,https://en.wikipedia.org/wiki/Gladiolus,48
Daucus carota,L.,1753.0,Sp. Pl.: 242 (1753),https://bs.plantnet.org/image/o/1a8e32a56cb9c6202c1e5b58898ea11ad6b00d4d,Apiaceae,Daucus,https://en.wikipedia.org/wiki/Daucus_carota,49
Moraea ochroleuca,(Salisb.) Drapiez,1836.0,Encyclogr. Règne Vég. 4: 477 (1836),https://d2seqvvyy3b8p2.cloudfront.net/b90a538d17b23a3e0a901f0859112559.jpg,Iridaceae,Moraea,https://en.wikipedia.org/wiki/Moraea_ochroleuca,50
Babiana bainesii,Baker,1876.0,J. Bot. 14: 335 (1876),https://d2seqvvyy3b8p2.cloudfront.net/569adb1f41307e04b17b521a4971eac7.jpg,Iridaceae,Babiana,https://en.wikipedia.org/wiki/Babiana,51
Lapeirousia jacquinii,N.E.Br.,1928.0,"J. Linn. Soc., Bot. 48:20.  1928",https://d2seqvvyy3b8p2.cloudfront.net/789728b3ff58d6c7d298661fa617108c.jpg,Iridaceae,Lapeirousia,https://en.wikipedia.org/wiki/List_of_Iridaceae_of_South_Africa,52
Sisyrinchium luzula,Klotzsch ex Klatt,1861.0,Linnaea 31: 89 1861,https://d2seqvvyy3b8p2.cloudfront.net/4059a99e250d8da3276ba8abcbce102a.jpg,Iridaceae,Sisyrinchium,https://en.wikipedia.org/wiki/List_of_Sisyrinchium_species,53
Geniostoma rupestre,J.R.Forst. & G.Forst.,1776.0,Char. Gen. Pl.: 24 (1776),https://d2seqvvyy3b8p2.cloudfront.net/29b98942246e730e5883963f4066c37f.jpg,Loganiaceae,Geniostoma,https://en.wikipedia.org/wiki/Geniostoma_ligustrifolium,54
Calicotome villosa,(Poir.) Link,1808.0,Neues J. Bot. 2(2): 51 (1808),https://bs.plantnet.org/image/o/6032fde46086a376650901a94fea7aab2277684f,Fabaceae,Calicotome,https://en.wikipedia.org/wiki/Calicotome_villosa,55
Cypella herbertii,(Lindl.) Herb.,1826.0,Bot. Mag. 53: t. 2637 (1826),https://d2seqvvyy3b8p2.cloudfront.net/7b01b022e4d8bc6230ffa7a8ad27267a.jpg,Iridaceae,Cypella,https://en.wikipedia.org/wiki/Cypella,56
Pandanus tectorius,Parkinson ex Du Roi,1774.0,Naturforscher (Halle) 4: 250 (1774),https://bs.plantnet.org/image/o/1dbfa9ce6c3738ee115b7ab00799ce00afa71a4a,Pandanaceae,Pandanus,https://en.wikipedia.org/wiki/Pandanus_tectorius,57
Dodonaea viscosa,Jacq.,1760.0,Enum. Syst. Pl.: 19 (1760),https://bs.plantnet.org/image/o/186567e9fa0a9cc86dc3c9e2ec0ebe6b38312787,Sapindaceae,Dodonaea,https://en.wikipedia.org/wiki/Dodonaea_viscosa,58
Tritonia nelsonii,Baker,1892.0,Handb. Irid.: 195 (1892),https://d2seqvvyy3b8p2.cloudfront.net/d89aedfbd5f2ec04179a8de8f127db9f.jpg,Iridaceae,Tritonia,https://en.wikipedia.org/wiki/Tritonia_(plant),59
Babiana nana,(Andrews) Spreng.,1824.0,Syst. Veg. 1: 156 (1824),https://d2seqvvyy3b8p2.cloudfront.net/4e408a3b8cd2bb1dd115593a61be0c8e.jpg,Iridaceae,Babiana,https://en.wikipedia.org/wiki/Babiana_nana,60
Gladiolus inflatus,Thunb.,1800.0,Prodr. Pl. Cap.: 185 (1800),https://d2seqvvyy3b8p2.cloudfront.net/649c9bd1d58de240dd0ece151f3b2d69.jpg,Iridaceae,Gladiolus,https://en.wikipedia.org/wiki/Gladiolus,61
Wahlenbergia gracilis,(G.Forst.) A.DC.,1830.0,Monogr. Campan.: 142 (1830),https://d2seqvvyy3b8p2.cloudfront.net/8ff3ef19ed0113d5294e96fac8ddca7a.jpg,Campanulaceae,Wahlenbergia,https://en.wikipedia.org/wiki/Wahlenbergia_gracilis,62
Sarcomelicope simplicifolia,(Endl.) T.G.Hartley,1982.0,Austral. J. Bot. 30: 369 (1982),https://bs.plantnet.org/image/o/d81702df77ad6c756d998924b8699cc918bac7b5,Rutaceae,Sarcomelicope,https://en.wikipedia.org/wiki/Sarcomelicope_simplicifolia,63
Gladiolus ochroleucus,Baker,1876.0,J. Bot. 14:182.  1876,https://d2seqvvyy3b8p2.cloudfront.net/0ae58752a7cecc75a515a2e43c11169c.jpg,Iridaceae,Gladiolus,https://en.wikipedia.org/wiki/Gladiolus,64
Tritonia securigera,Ker Gawl.,1804.0,Ann. Bot. (König & Sims) 1: 228 (1804),https://d2seqvvyy3b8p2.cloudfront.net/c749668b1643e3a40c988d72c0ef588a.jpg,Iridaceae,Tritonia,https://en.wikipedia.org/wiki/Tritonia_(plant),65
Premna serratifolia,L.,1771.0,Mant. Pl. 2: 253 (1771),https://bs.plantnet.org/image/o/ea0b724e6432f43173672a80434ec50c4f74d154,Lamiaceae,Premna,https://en.wikipedia.org/wiki/Premna_serratifolia,66
Tetragonia implexicoma,(Miq.) Hook.f.,1856.0,Fl. Tasman. 1: 148 (1856),https://bs.plantnet.org/image/o/4f621db0c77ca5eaab3f21c3da6923dc2ab71200,Aizoaceae,Tetragonia,https://en.wikipedia.org/wiki/Tetragonia_implexicoma,67
Babiana hirsuta,Goldblatt & J.C.Manning (Lam.),2008.0,Bothalia 38: 53 (2008),https://d2seqvvyy3b8p2.cloudfront.net/2f4106d12dfdd2161f79e68e2a9f13de.jpg,Iridaceae,Babiana,https://en.wikipedia.org/wiki/Babiana,68
Iris collettii,Hook.f.,1903.0,Bot. Mag. 129: t. 7889.  1903,https://d2seqvvyy3b8p2.cloudfront.net/362dce5749cbc91853cadfd980562516.jpg,Iridaceae,Iris,,69
Allophylus cobbe,(L.) Forsyth f.,1794.0,Bot. Nomencl.: 226 (1794),https://bs.plantnet.org/image/o/5b4b8fe820b0ab8679a815c28eaf6e7eda72a65d,Sapindaceae,Allophylus,https://en.wikipedia.org/wiki/Allophylus_cobbe,70
Eragrostis brownii,(Kunth) Nees,1834.0,"R.Wight, Cat. Indian Pl. 4: 105 (1834)",https://d2seqvvyy3b8p2.cloudfront.net/8a8e9668a517805b45c7cbfc9ca3c40d.jpg,Poaceae,Eragrostis,https://en.wikipedia.org/wiki/Eragrostis_brownii,71
Salvia fruticosa,Mill.,1768.0,Gard. Dict. ed. 8: n.º 5 (1768),https://bs.plantnet.org/image/o/5309d46dc000c78737400b454eec3b48dfd0e00c,Lamiaceae,Salvia,https://en.wikipedia.org/wiki/Salvia_fruticosa,72
Alstonia costata,(G.Forst.) R.Br.,1810.0,Asclepiadeae: 64 (1810),https://d2seqvvyy3b8p2.cloudfront.net/421e5c9e54c9d60bb7ff49822fba4596.jpg,Apocynaceae,Alstonia,https://en.wikipedia.org/wiki/Alstonia,73
Sisyrinchium jamesonii,Baker,1876.0,J. Bot. 14: 269 (1876),https://d2seqvvyy3b8p2.cloudfront.net/6a8a62f711d586b3506d1141259099af.jpg,Iridaceae,Sisyrinchium,,74
Watsonia zeyheri,L.Bolus,1926.0,Ann. Bolus Herb. 4: 48 (1926),https://bs.plantnet.org/image/o/ddd4ba3d0eb145734978cd8ad3e20e723fd9ab9a,Iridaceae,Watsonia,https://en.wikipedia.org/wiki/Watsonia_(plant),75
Eleocharis acuta,R.Br.,1810.0,Prodr. Fl. Nov. Holland.: 224 (1810),https://d2seqvvyy3b8p2.cloudfront.net/be4e5b78861e6c8ab813bf5fd03233ef.jpg,Cyperaceae,Eleocharis,https://en.wikipedia.org/wiki/Eleocharis_acuta,76
Gladiolus wilsonii,Goldblatt & J.C.Manning (Baker),1998.0,Gladiolus S. Afr.: 206 (1998),https://d2seqvvyy3b8p2.cloudfront.net/681d5b16b376402e6f19ef9ce8de50ce.jpg,Iridaceae,Gladiolus,https://en.wikipedia.org/wiki/Gladiolus,77
Davallia solida,(G.Forst.) Sw.,1801.0,J. Bot. (Schrader) 1800(2): 87 (1801),https://d2seqvvyy3b8p2.cloudfront.net/4c967e3254417ae309eb022925344f7b.jpg,Polypodiaceae,Davallia,https://en.wikipedia.org/wiki/Davallia,78
Plumeria rubra,L.,1753.0,Sp. Pl.: 209 (1753),https://bs.plantnet.org/image/o/ba80326efe3b4d41d34b017e571199cac3a6be91,Apocynaceae,Plumeria,https://en.wikipedia.org/wiki/Plumeria_rubra,79
Epidendrum secundum,Jacq.,1760.0,Enum. Syst. Pl.: 29 (1760),https://d2seqvvyy3b8p2.cloudfront.net/363e1d4d1bcbe3cb07f422c0581f892c.jpg,Orchidaceae,Epidendrum,https://en.wikipedia.org/wiki/Epidendrum_secundum,80
Festuca lachenalii,(C.C.Gmel.) Spenn.,1829.0,Fl. Friburg. 3: 1050 (1829),https://bs.plantnet.org/image/o/128a948c61a737499d7ec21a26af27a058451884,Poaceae,Festuca,https://en.wikipedia.org/wiki/British_NVC_community_MG12,81
Microtis unifolia,(G.Forst.) Rchb.f.,1871.0,Beitr. Syst. Pflanzenk.: 62 (1871),https://bs.plantnet.org/image/o/7d3b14dfaa8962b5c1db9742090f597b24f52d35,Orchidaceae,Microtis,https://en.wikipedia.org/wiki/Microtis_unifolia,82
Radinosiphon leptostachya,(Baker) N.E.Br.,1932.0,Trans. Roy. Soc. South Africa 20: 263 (1932),https://d2seqvvyy3b8p2.cloudfront.net/7832301ad66bfb5b1d331a8003cdcba7.jpg,Iridaceae,Radinosiphon,https://en.wikipedia.org/wiki/Radinosiphon,83
Euphorbia characias,L.,1753.0,Sp. Pl.: 463 (1753),https://bs.plantnet.org/image/o/2dfdec6ffc77abdbc673c9c24026504d60553155,Euphorbiaceae,Euphorbia,https://en.wikipedia.org/wiki/Euphorbia_characias,84
Dracaena angustifolia,(Medik.) Roxb.,1814.0,Hort. Bengal.: 24 (1814),https://bs.plantnet.org/image/o/0a608aebb3a77e07221f070cb8ee66b051c84c26,Asparagaceae,Dracaena,https://en.wikipedia.org/wiki/Dracaena_angustifolia,85
Zehneria mucronata,(Blume) Miq.,1856.0,Fl. Ned. Ind. 1(1): 656 (1856),https://d2seqvvyy3b8p2.cloudfront.net/d1cf65f2cc30547fc263c3f32be031b8.jpg,Cucurbitaceae,Zehneria,https://en.wikipedia.org/wiki/Zehneria,86
Alophia silvestris,Goldblatt (Loes.),1976.0,Goldblatt P (1975) Revision of the bulbous Iridaceae of North America. Brittonia 27(4): 373-385. doi: 10.2307/2805516.,https://bs.plantnet.org/image/o/1f435fc4442305b32d05f745602c0c8b9e56ecb2,Iridaceae,Alophia,https://en.wikipedia.org/wiki/Alophia,87
Eucalyptus fibrosa,F.Muell.,1858.0,"J. Proc. Linn. Soc., Bot. 3: 87 (1858)",https://d2seqvvyy3b8p2.cloudfront.net/d9aa0dc33977464321063febc331ea75.jpg,Myrtaceae,Eucalyptus,https://en.wikipedia.org/wiki/Eucalyptus_fibrosa,88
Caladium bicolor,(Aiton) Vent.,1800.0,Mag. Encycl. 4: 464 (1800),https://bs.plantnet.org/image/o/ab93c2b0c8183a16d3154f18f8cbd4db802536e7,Araceae,Caladium,https://en.wikipedia.org/wiki/Caladium_bicolor,89
Gladiolus saundersii,Hook.f.,1870.0,Bot. Mag. 96: t. 5873 (1870),https://d2seqvvyy3b8p2.cloudfront.net/7e266e880104880c365edd84052c8826.jpg,Iridaceae,Gladiolus,https://en.wikipedia.org/wiki/Gladiolus,90
Isolepis cernua,(Vahl) Roem. & Schult.,1817.0,"Syst. Veg., ed. 15 bis 2: 106 (1817)",https://bs.plantnet.org/image/o/1618e2470fde0a8916d2d09a17f8f2e817e5ab88,Cyperaceae,Isolepis,https://en.wikipedia.org/wiki/Isolepis_cernua,91
Iris grant-duffii,Baker,1892.0,Handb. Irid. 7.  1892,https://d2seqvvyy3b8p2.cloudfront.net/a4b75852e716214b82fdaca3e0ad0991.jpg,Iridaceae,Iris,https://en.wikipedia.org/wiki/Iris_grant-duffii,92
Mirabilis laevis,(Benth.) Curran,1888.0,"Proc. Calif. Acad. Sci., ser. 2, 1: 235 (1888)",https://bs.plantnet.org/image/o/506cffa9d3798fdcf8b745916c4d06ac25b34152,Nyctaginaceae,Mirabilis,https://en.wikipedia.org/wiki/Mirabilis_laevis,93
Lachnagrostis filiformis,(G.Forst.) Trin.,1820.0,Fund. Agrost.: 128 (1820),https://d2seqvvyy3b8p2.cloudfront.net/e86e465a97a0717445ed8d22301328b3.jpg,Poaceae,Lachnagrostis,https://en.wikipedia.org/wiki/Lachnagrostis,94
Gladiolus melleri,Baker,1876.0,J. Bot. 14: 334 (1876),https://d2seqvvyy3b8p2.cloudfront.net/0c0bbec01500548a123105ad712a7bc8.jpg,Iridaceae,Gladiolus,https://en.wikipedia.org/wiki/Gladiolus,95
Tulipa orphanidea,Boiss. ex Heldr.,1862.0,Gartenflora 11:309.  1862,https://bs.plantnet.org/image/o/54c24e580d1fee3ffc947e98df490184cb127195,Liliaceae,Tulipa,https://en.wikipedia.org/wiki/Tulipa_orphanidea,96
Dierama mossii,Hilliard (N.E.Br.),1988.0,Notes Roy. Bot. Gard. Edinburgh 45: 82 (1988),https://d2seqvvyy3b8p2.cloudfront.net/58a6419df9ceab7e13dbfcfa64e042cc.jpg,Iridaceae,Dierama,https://en.wikipedia.org/wiki/Dierama,97
Oplismenus hirtellus,(L.) P.Beauv.,1812.0,"Ess. Agrostogr.: 54, 170 (1812)",https://storage.googleapis.com/powop-assets/grassbase/media/Oplismenus_hirtellus_2011_fullsize.jpg,Poaceae,Oplismenus,https://en.wikipedia.org/wiki/Oplismenus_hirtellus,98
Trifolium uniflorum,L.,1753.0,Sp. Pl.: 771 (1753),https://bs.plantnet.org/image/o/b1437af1a1d52c37732aca98d388aa8eb1dbb869,Fabaceae,Trifolium,,99
Ixora casei,Hance,1852.0,"W.G.Walpers, Ann. Bot. Syst. 2: 754 (1852)",https://d2seqvvyy3b8p2.cloudfront.net/75a2762ccf34cbed5128ea7911ead8a9.jpg,Rubiaceae,Ixora,,100
Epipremnum pinnatum,(L.) Engl.,1908.0,"Pflanzenr., IV, 23B: 60 (1908)",https://bs.plantnet.org/image/o/50bbb0f02116e1eb7ce43c0dc00c8fef1f7752ac,Araceae,Epipremnum,https://en.wikipedia.org/wiki/Epipremnum_pinnatum,101
Planchonella obovata,(R.Br.) Pierre,1890.0,Notes Bot. Sapot.: 35 (1890),https://bs.plantnet.org/image/o/a9cebfb53a3109c1a3dcfb37d9168046f8553f63,Sapotaceae,Planchonella,https://en.wikipedia.org/wiki/Pouteria_obovata,102
Dieffenbachia seguine,Schott,1832.0,Wiener Z. Kunst 1829(3):803.  1829,https://bs.plantnet.org/image/o/ef7f66449b76eecc6302291cc96829421e4e3b53,Araceae,Dieffenbachia,https://en.wikipedia.org/wiki/Dieffenbachia_seguine,103
Ipomoea violacea,L.,1753.0,Sp. Pl.: 161 (1753),https://d2seqvvyy3b8p2.cloudfront.net/9431a0d3f349a037391740bc927871a9.jpg,Convolvulaceae,Ipomoea,https://en.wikipedia.org/wiki/Ipomoea_violacea,104
Sparaxis variegata,Goldblatt (Sweet),1992.0,Ann. Missouri Bot. Gard. 79:157.  1992,https://d2seqvvyy3b8p2.cloudfront.net/4b1c9b7d51f72f684cf08631cb99e1e2.jpg,Iridaceae,Sparaxis,https://en.wikipedia.org/wiki/Sparaxis,105
