plant_id,scientific_name,origin_region,country,latitude,longitude
1,Ficus erecta,Assam,India,26.4073841,93.2551303
1,Ficus erecta,Bangladesh,Bangladesh,24.4768783,90.2932426
1,Ficus erecta,China South-Central,China,35.000074,104.999927
1,Ficus erecta,China Southeast,China,35.000074,104.999927
1,Ficus erecta,East Himalaya,Nepal,27.985688,86.9163367
1,Ficus erecta,Japan,Japan,36.5748441,139.2394179
1,Ficus erecta,Korea,South Korea,36.638392,127.6961188
1,Ficus erecta,Nansei-shoto,Japan,26.037118273483266,127.00545006618664
1,Ficus erecta,Taiwan,Taiwan,23.9739374,120.9820179
1,Ficus erecta,Vietnam,Vietnam,13.2904027,108.4265113
2,Hemiptelea davidii,China North-Central,China,35.000074,104.999927
2,Hemiptelea davidii,China South-Central,China,35.000074,104.999927
2,Hemiptelea davidii,China Southeast,China,35.000074,104.999927
2,Hemiptelea davidii,Inner Mongolia,China,43.2443242,114.3251664
2,Hemiptelea davidii,Korea,South Korea,36.638392,127.6961188
2,Hemiptelea davidii,Manchuria,China,45.81050902017055,81.97991534345397
3,Acalypha amentacea,Borneo,Indonesia,1.4297828,114.74104130383714
3,Acalypha amentacea,Caroline Is.,Kiribati,-9.90892991927859,-150.20401163887726
3,Acalypha amentacea,Maluku,Indonesia,-3.118837,129.4207759
3,Acalypha amentacea,New Guinea,Papua New Guinea,-5.6816069,144.2489081
3,Acalypha amentacea,Philippines,Philippines,12.7503486,122.7312101
3,Acalypha amentacea,Sulawesi,Indonesia,-3.6446718,119.9471906
4,Carissa spinarum,Aldabra,Seychelles,-9.4297746,46.33891429305787
4,Carissa spinarum,Andaman Is.,India,12.61123865,92.83165406414926
4,Carissa spinarum,Angola,Angola,-11.8775768,17.5691241
4,Carissa spinarum,Bangladesh,Bangladesh,24.4768783,90.2932426
4,Carissa spinarum,Benin,Benin,9.5293472,2.2584408
4,Carissa spinarum,Botswana,Botswana,-23.1681782,24.5928742
4,Carissa spinarum,Burkina,Burkina Faso,12.0753083,-1.6880314
4,Carissa spinarum,Burundi,Burundi,-3.3634357,29.8870575
4,Carissa spinarum,Cambodia,Cambodia,13.5066394,104.869423
4,Carissa spinarum,Cameroon,Cameroon,4.6125522,13.1535811
4,Carissa spinarum,Cape Verde,Cape Verde,16.0000552,-24.0083947
4,Carissa spinarum,Caprivi Strip,Namibia,-17.9861975,22.984109307128655
4,Carissa spinarum,Central African Repu,Central African Republic,4.43520964950236,18.569784100022897
4,Carissa spinarum,Chad,Chad,15.6134137,19.0156172
4,Carissa spinarum,China South-Central,China,35.000074,104.999927
4,Carissa spinarum,Comoros,Comoros,-12.2045176,44.2832964
4,Carissa spinarum,Congo,Congo-Brazzaville,-0.7264327,15.6419155
4,Carissa spinarum,Djibouti,Djibouti,11.8145966,42.8453061
4,Carissa spinarum,East Himalaya,Nepal,27.985688,86.9163367
4,Carissa spinarum,Egypt,Egypt,26.2540493,29.2675469
4,Carissa spinarum,Eritrea,Eritrea,15.9500319,37.9999668
4,Carissa spinarum,Ethiopia,Ethiopia,10.2116702,38.6521203
4,Carissa spinarum,Ghana,Ghana,8.0300284,-1.0800271
4,Carissa spinarum,Guinea,Guinea,10.7226226,-10.7083587
4,Carissa spinarum,Guinea-Bissau,Guinea-Bissau,12.100035,-14.9000214
4,Carissa spinarum,India,India,22.3511148,78.6677428
4,Carissa spinarum,Ivory Coast,Côte d'Ivoire,7.9897371,-5.5679458
4,Carissa spinarum,Kenya,Kenya,1.4419683,38.4313975
4,Carissa spinarum,Laos,Laos,20.0171109,103.378253
4,Carissa spinarum,Madagascar,Madagascar,-18.9249604,46.4416422
4,Carissa spinarum,Malawi,Malawi,-13.2687204,33.9301963
4,Carissa spinarum,Mali,Mali,16.3700359,-2.2900239
4,Carissa spinarum,Mauritius,Mauritius,-20.2759451,57.5703566
4,Carissa spinarum,Mozambique,Mozambique,-19.302233,34.9144977
4,Carissa spinarum,Myanmar,Myanmar,17.1750495,95.9999652
4,Carissa spinarum,Namibia,Namibia,-23.2335499,17.3231107
4,Carissa spinarum,Nepal,Nepal,28.1083929,84.0917139
4,Carissa spinarum,New Caledonia,France,-20.454288599999998,164.55660583077983
4,Carissa spinarum,New Guinea,Papua New Guinea,-5.6816069,144.2489081
4,Carissa spinarum,New South Wales,Australia,-31.8759835,147.2869493
4,Carissa spinarum,Nicobar Is.,India,12.61123865,92.83165406414926
4,Carissa spinarum,Nigeria,Nigeria,9.6000359,7.9999721
4,Carissa spinarum,Northern Provinces,South Africa,-23.07315041292348,29.385525092479316
4,Carissa spinarum,Northern Territory,Australia,-19.8516101,133.2303375
4,Carissa spinarum,Oman,Oman,21.0000287,57.0036901
4,Carissa spinarum,Pakistan,Pakistan,30.3308401,71.247499
4,Carissa spinarum,Queensland,Australia,-22.1646782,144.5844903
4,Carissa spinarum,Rodrigues,Mauritius,-19.7092,63.4425995
4,Carissa spinarum,Rwanda,Rwanda,-1.9646631,30.0644358
4,Carissa spinarum,Réunion,France,-21.1309332,55.5265771
4,Carissa spinarum,Saudi Arabia,Saudi Arabia,25.6242618,42.3528328
4,Carissa spinarum,Senegal,Senegal,14.4750607,-14.4529612
4,Carissa spinarum,Seychelles,Seychelles,-4.6574977,55.4540146
4,Carissa spinarum,Socotra,Yemen,12.5,53.833333
4,Carissa spinarum,Somalia,Somalia,8.3676771,49.083416
4,Carissa spinarum,Sri Lanka,Sri Lanka,7.5554942,80.7137847
4,Carissa spinarum,Sudan,Sudan,14.5844444,29.4917691
4,Carissa spinarum,Tanzania,Tanzania,-6.5247123,35.7878438
4,Carissa spinarum,Thailand,Thailand,14.8971921,100.83273
4,Carissa spinarum,Togo,Togo,8.7800265,1.0199765
4,Carissa spinarum,Uganda,Uganda,1.5333554,32.2166578
4,Carissa spinarum,Vietnam,Vietnam,13.2904027,108.4265113
4,Carissa spinarum,West Himalaya,Nepal,27.985688,86.9163367
4,Carissa spinarum,Western Australia,Australia,-25.2303005,121.0187246
4,Carissa spinarum,Yemen,Yemen,16.3471243,47.8915271
4,Carissa spinarum,Zambia,Zambia,-14.5189121,27.5589884
4,Carissa spinarum,Zaïre,Democratic Republic of the Congo,-2.9814344,23.8222636
4,Carissa spinarum,Zimbabwe,Zimbabwe,-18.4554963,29.7468414
5,Solanum hasslerianum,Argentina Northeast,Argentina,-34.9964963,-64.9672817
5,Solanum hasslerianum,Brazil South,Brazil,-10.3333333,-53.2
5,Solanum hasslerianum,Brazil West-Central,Brazil,-10.3333333,-53.2
5,Solanum hasslerianum,Paraguay,Paraguay,-23.3165935,-58.1693445
6,Chrysojasminum humile,Afghanistan,Afghanistan,33.7680065,66.2385139
6,Chrysojasminum humile,Assam,India,26.4073841,93.2551303
6,Chrysojasminum humile,China North-Central,China,35.000074,104.999927
6,Chrysojasminum humile,China South-Central,China,35.000074,104.999927
6,Chrysojasminum humile,East Himalaya,Nepal,27.985688,86.9163367
6,Chrysojasminum humile,Iran,Iran,32.6475314,54.5643516
6,Chrysojasminum humile,Myanmar,Myanmar,17.1750495,95.9999652
6,Chrysojasminum humile,Nepal,Nepal,28.1083929,84.0917139
6,Chrysojasminum humile,Pakistan,Pakistan,30.3308401,71.247499
6,Chrysojasminum humile,Tadzhikistan,Tajikistan,38.6281733,70.8156541
6,Chrysojasminum humile,Tibet,China,29.8556443,90.8749807
6,Chrysojasminum humile,West Himalaya,Nepal,27.985688,86.9163367
7,Juniperus cedrus,Canary Is.,Spain,28.286398900000002,-16.796011808910734
7,Juniperus cedrus,Madeira,Portugal,32.751748750000004,-16.981752048847362
8,Alternanthera pungens,Argentina Northeast,Argentina,-34.9964963,-64.9672817
8,Alternanthera pungens,Argentina Northwest,Argentina,-34.9964963,-64.9672817
8,Alternanthera pungens,Bolivia,Bolivia,-17.0568696,-64.9912286
8,Alternanthera pungens,Brazil Northeast,Brazil,-10.3333333,-53.2
8,Alternanthera pungens,Brazil South,Brazil,-10.3333333,-53.2
8,Alternanthera pungens,Brazil Southeast,Brazil,-10.3333333,-53.2
8,Alternanthera pungens,Brazil West-Central,Brazil,-10.3333333,-53.2
8,Alternanthera pungens,Colombia,Colombia,4.099917,-72.9088133
8,Alternanthera pungens,Cuba,Cuba,23.0131338,-80.8328748
8,Alternanthera pungens,Dominican Republic,Dominican Republic,19.0974031,-70.3028026
8,Alternanthera pungens,Ecuador,Ecuador,-1.3397668,-79.3666965
8,Alternanthera pungens,Haiti,Haiti,19.1399952,-72.3570972
8,Alternanthera pungens,Jamaica,Jamaica,18.1850507,-77.3947693
8,Alternanthera pungens,Leeward Is.,Caribean Sea,15.306329475707475,-62.35624409201594
8,Alternanthera pungens,Mexico Central,Mexico,22.5000485,-100.000037
8,Alternanthera pungens,Mexico Gulf,Mexico,27.5578101,-111.7046501
8,Alternanthera pungens,Mexico Northeast,Mexico,22.5000485,-100.000037
8,Alternanthera pungens,Mexico Northwest,Mexico,22.5000485,-100.000037
8,Alternanthera pungens,Mexico Southeast,Mexico,22.5000485,-100.000037
8,Alternanthera pungens,Mexico Southwest,Mexico,22.5000485,-100.000037
8,Alternanthera pungens,Paraguay,Paraguay,-23.3165935,-58.1693445
8,Alternanthera pungens,Peru,Peru,-6.8699697,-75.0458515
8,Alternanthera pungens,Puerto Rico,United States,18.1990856,-66.23444888114108
8,Alternanthera pungens,Uruguay,Uruguay,-32.8755548,-56.0201525
8,Alternanthera pungens,Venezuela,Venezuela,6.68231285,-65.52259913185809
