plant_id,full_name,botanist_wiki,botanist_last_name
22,Peter Simon Pallas,http://en.wikipedia.org/wiki/Peter_Simon_Pallas,pallas
22,Henry John Elwes,http://en.wikipedia.org/wiki/Henry_John_Elwes,elwes
22,Thiebaut,,thiebaut
23,Nikolaus Joseph von Jacquin,http://en.wikipedia.org/wiki/Nikolaus_Joseph_von_Jacquin,jacquin
23,Joseph Franz von Jacquin,http://en.wikipedia.org/wiki/Joseph_Franz_von_Jacquin,jacquin
24,Robert Brown,http://en.wikipedia.org/wiki/Robert_Brown_(Scottish_botanist_from_Montrose),brown
24,Clair Alan Brown,http://en.wikipedia.org/wiki/Clair_Alan_Brown,brown
24,Nicholas Edward Brown,http://en.wikipedia.org/wiki/Nicholas_Edward_Brown,brown
24,Addison Brown,http://en.wikipedia.org/wiki/Addison_Brown,brown
24,Andrew Phillip Brown,http://en.wikipedia.org/wiki/Andrew_Phillip_Brown,brown
24,William Brown,http://en.wikipedia.org/wiki/William_Brown_(plant_pathologist),brown
25,Johann Friedrich Gmelin,http://en.wikipedia.org/wiki/Johann_Friedrich_Gmelin,gmelin
25,Johann Georg Gmelin,http://en.wikipedia.org/wiki/Johann_Georg_Gmelin,gmelin
25,Samuel Gottlieb Gmelin,http://en.wikipedia.org/wiki/Samuel_Gottlieb_Gmelin,gmelin
25,Carl Christian Gmelin,http://en.wikipedia.org/wiki/Karl_Christian_Gmelin,gmelin
25,Dierinck,,dierinck
26,Joseph Pitton de Tournefort,http://en.wikipedia.org/wiki/Joseph_Pitton_de_Tournefort,tournefort
27,Lecok,,lecok
27,Heinrich Johann Nepomuk von Crantz,http://en.wikipedia.org/wiki/Heinrich_Johann_Nepomuk_von_Crantz,crantz
27,Delacour,,delacour
27,Amans,,amans
28,Sereno Watson,http://en.wikipedia.org/wiki/Sereno_Watson,watson
28,Elba Emanuel Watson,http://en.wikipedia.org/wiki/Elba_Emanuel_Watson,watson
28,Hewett Watson,http://en.wikipedia.org/wiki/Hewett_Watson,watson
28,William Watson,http://en.wikipedia.org/wiki/William_Watson_(scientist),watson
28,William Watson,http://en.wikipedia.org/wiki/William_Watson_(botanist),watson
29,James Edward Smith,http://en.wikipedia.org/wiki/James_Edward_Smith,smith
29,Johannes Jacobus Smith,http://en.wikipedia.org/wiki/Johannes_Jacobus_Smith,smith
29,Winifred Smith,http://en.wikipedia.org/wiki/Winifred_Smith,smith
29,Christo Albertyn Smith,http://en.wikipedia.org/wiki/Christo_Albertyn_Smith,smith
29,Charles Piper Smith,http://en.wikipedia.org/wiki/Charles_Piper_Smith,smith
29,Gerard Edwards Smith,http://en.wikipedia.org/wiki/Gerard_Edwards_Smith,smith
29,Gilbert Morgan Smith,http://en.wikipedia.org/wiki/Gilbert_Morgan_Smith,smith
29,Henry George Smith,http://en.wikipedia.org/wiki/Henry_George_Smith,smith
29,Hamilton Lanphere Smith,http://en.wikipedia.org/wiki/Hamilton_Lanphere_Smith,smith
29,Albert Charles Smith,http://en.wikipedia.org/wiki/Albert_Charles_Smith,smith
29,Alan Reid Smith,http://en.wikipedia.org/w/index.php?title=Alan_Reid_Smith&action=edit&redlink=1,smith
29,William Wright Smith,http://en.wikipedia.org/wiki/William_Wright_Smith,smith
30,David Douglas,http://en.wikipedia.org/wiki/David_Douglas_(botanist),douglas
31,Charles Edward Parkinson,http://en.wikipedia.org/w/index.php?title=Charles_Edward_Parkinson&action=edit&redlink=1,parkinson
32,Junod,,junod
32,George Thomson,http://en.wikipedia.org/wiki/George_Thomson_(botanist),thomson
32,Charles Wyville Thomson,http://en.wikipedia.org/wiki/Charles_Wyville_Thomson,thomson
32,Conrath,,conrath
32,Dieterlen,,dieterlen
33,Karl Theodor Hartweg,http://en.wikipedia.org/wiki/Karl_Theodor_Hartweg,hartweg
34,Christian Friedrich Ecklon,http://en.wikipedia.org/wiki/Christian_Friedrich_Ecklon,ecklon
34,Last,,last
34,Maitland,,maitland
35,Jean-Baptiste Lamarck,http://en.wikipedia.org/wiki/Jean-Baptiste_Lamarck,lamarck
36,Wilhelm Hemprich,http://en.wikipedia.org/wiki/Wilhelm_Hemprich,hemprich
37,Senn,,senn
37,Thomas Kirk,http://en.wikipedia.org/wiki/Thomas_Kirk_(botanist),kirk
38,Pillans,,pillans
38,Prior,,prior
38,John Hutchinson,http://en.wikipedia.org/wiki/John_Hutchinson_(botanist),hutchinson
39,Langlois,,langlois
39,Seaton,,seaton
39,Karl Theodor Hartweg,http://en.wikipedia.org/wiki/Karl_Theodor_Hartweg,hartweg
40,Charles Edward Moss,http://en.wikipedia.org/wiki/Charles_Edward_Moss,moss
41,Danin,,danin
41,Águedo Marrero Rodriguez,http://en.wikipedia.org/w/index.php?title=%C3%81guedo_Marrero_Rodriguez&action=edit&redlink=1,rodriguez
41,Trabut,,trabut
41,Cadevall,,cadevall
41,Jahandiez,,jahandiez
42,Franz Buxbaum,http://en.wikipedia.org/wiki/Franz_Buxbaum,buxbaum
43,Christian Friedrich Ecklon,http://en.wikipedia.org/wiki/Christian_Friedrich_Ecklon,ecklon
44,Richard Sanders Rogers,http://en.wikipedia.org/wiki/Richard_Sanders_Rogers,rogers
44,Vlok,,vlok
44,William John Burchell,http://en.wikipedia.org/wiki/William_John_Burchell,burchell
45,Franz Ewald Theodor Bachmann,http://en.wikipedia.org/wiki/Franz_Ewald_Theodor_Bachmann,bachmann
46,Charles Gaillardot,http://en.wikipedia.org/wiki/Charles_Gaillardot,gaillardot
47,Christian Friedrich Ludwig,http://en.wikipedia.org/wiki/Christian_Friedrich_Ludwig,ludwig
48,John Medley Wood,http://en.wikipedia.org/wiki/John_Medley_Wood,wood
48,Geoffrey H.S. Wood,http://en.wikipedia.org/w/index.php?title=Geoffrey_H.S._Wood&action=edit&redlink=1,wood
48,Howard Page Wood,http://en.wikipedia.org/w/index.php?title=Howard_Page_Wood&action=edit&redlink=1,wood
48,Alphonso Wood,http://en.wikipedia.org/wiki/Alphonso_Wood,wood
48,William Wood,http://en.wikipedia.org/wiki/William_Wood_(botanist),wood
49,Allion,,allion
49,Mikhail Ivanovich Kotov,http://en.wikipedia.org/w/index.php?title=Mikhail_Ivanovich_Kotov&action=edit&redlink=1,kotov
